Common name,GPCRdb ID,Reference ligand,Vendors,Species,Assay Type,Activity Type,Activity Relation,Activity Value,p-value (-log),Fold selectivity,Tested GPCRs,Assay Description,Source,Mol weight,Rot Bonds,H don,H acc,LogP,Smiles,DOI
α-ergocryptine,358,,18,Human,Binding,IC50,=,1.95,8.71,-1,21,DRUGMATRIX: Dopamine D2L radioligand binding (ligand: [3H] Spiperone),ChEMBL,"575,3",5,3,6,"2,43",CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]cc(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12,-
α-ergocryptine,358,,18,Human,Binding,Ki,=,0.65,9.19,-1,21,DRUGMATRIX: Dopamine D2L radioligand binding (ligand: [3H] Spiperone),ChEMBL,"575,3",5,3,6,"2,43",CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]cc(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12,-
α-ergocryptine,358,,18,Human,Binding,pKi,=,9.19,8.04,-1,21,DRUGMATRIX: Dopamine D2L radioligand binding (ligand: [3H] Spiperone),Drug Central,"575,3",5,3,6,"2,43",CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]cc(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12,-
(+)-sulpiride,3703,,66,Human,Binding,AC50,=,803.3,6.09,-1,23,"Binding affinity towards human DRD2 in an in vitro assay with cellular components measured by membrane filtration, scintillation proximity assay",ChEMBL,"341,1",6,2,5,"0,56",CCN1CCC[C@@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,https://dx.doi.org/10.1038/s41467-023-40064-9
(+)-sulpiride,3703,,66,Human,Binding,IC50,=,128.0,6.89,-1,23,DRUGMATRIX: Dopamine D2L radioligand binding (ligand: [3H] Spiperone),ChEMBL,"341,1",6,2,5,"0,56",CCN1CCC[C@@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,-
(+)-sulpiride,3703,,66,Human,Binding,IC50,=,205.0,6.69,-1,23,DRUGMATRIX: Dopamine D2L radioligand binding (ligand: [3H] Spiperone),ChEMBL,"341,1",6,2,5,"0,56",CCN1CCC[C@@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,-
(+)-sulpiride,3703,,66,Human,Binding,Ki,=,68.0,7.17,-1,23,DRUGMATRIX: Dopamine D2L radioligand binding (ligand: [3H] Spiperone),ChEMBL,"341,1",6,2,5,"0,56",CCN1CCC[C@@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,-
(+)-sulpiride,3703,,66,Human,Binding,Ki,=,43.0,7.37,-1,23,DRUGMATRIX: Dopamine D2L radioligand binding (ligand: [3H] Spiperone),ChEMBL,"341,1",6,2,5,"0,56",CCN1CCC[C@@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,-
ACEPROMAZINE,150786,,16,Human,Binding,AC50,=,78.5,7.11,-,11,"Binding affinity towards human DRD2 in an in vitro assay with cellular components measured by membrane filtration, scintillation proximity assay",ChEMBL,"326,1",5,0,4,"4,44",CC(=O)c1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2,https://dx.doi.org/10.1038/s41467-023-40064-9
ACETOPHENAZINE,7074,,25,Human,Binding,AC50,=,11.8,7.93,-,16,"Binding affinity towards human DRD2 in an in vitro assay with cellular components measured by membrane filtration, scintillation proximity assay",ChEMBL,"411,2",7,1,6,"3,49",CC(=O)c1ccc2c(c1)N(CCCN1CCN(CCO)CC1)c1ccccc1S2,https://dx.doi.org/10.1038/s41467-023-40064-9
