Common name;GPCRdb ID;Reference ligand;Vendors;Species;Assay Type;Activity Type;Activity Relation;Activity Value;p-value (-log);Fold selectivity;Tested GPCRs;Assay Description;Source;Mol weight;Rot Bonds;H don;H acc;LogP;Smiles;DOI
α-ergocryptine;358;None;18;Human;Binding;IC50;=;1,95;8,71;-1;21;DRUGMATRIX: Dopamine D2L radioligand binding (ligand: [3H] Spiperone);ChEMBL;575,3;5;3;6;2,43;CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]cc(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12;-
α-ergocryptine;358;None;18;Human;Binding;Ki;=;0,65;9,19;-1;21;DRUGMATRIX: Dopamine D2L radioligand binding (ligand: [3H] Spiperone);ChEMBL;575,3;5;3;6;2,43;CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]cc(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12;-
α-ergocryptine;358;None;18;Human;Binding;pKi;=;9,19;8,04;-1;21;DRUGMATRIX: Dopamine D2L radioligand binding (ligand: [3H] Spiperone);Drug Central;575,3;5;3;6;2,43;CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]cc(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12;-
(+)-AJ76;322;None;18;Human;Binding;Ki;=;145,00;6,84;2;8;Binding affinity was measured at cloned mammalian dopamine D2 receptor expressed in CHO-K1 cells (using [3H]U-86170);ChEMBL;233,2;4;1;2;3,11;CCCN[C@@H]1CCc2c(OC)cccc2[C@@H]1C;https://dx.doi.org/10.1016/S0960-894X(01)80181-5
(+)-butaclamol;746;None;9;Human;Binding;IC50;=;1,10;8,96;-1;25;Displacement of [3H]methylspiperone from human recombinant Dopamine D2S receptor expressed in HEK293 cells;ChEMBL;361,2;0;1;2;4,84;CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1;https://dx.doi.org/10.1016/j.bmc.2016.03.006
(+)-butaclamol;746;None;9;Human;Binding;IC50;=;0,81;9,09;-1;25;Displacement of [3H]methyl-spiperone from human recombinant D2S receptor in HEK293 cells after 60 mins by scintillation counting;ChEMBL;361,2;0;1;2;4,84;CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1;https://dx.doi.org/10.1021/acs.jmedchem.6b01422
(+)-butaclamol;746;None;9;Human;Binding;Ki;=;0,27;9,57;-1;25;Displacement of [3H]methyl-spiperone from human recombinant D2S receptor in HEK293 cells after 60 mins by scintillation counting;ChEMBL;361,2;0;1;2;4,84;CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1;https://dx.doi.org/10.1021/acs.jmedchem.6b01422
(+)-butaclamol;746;None;9;Human;Binding;Ki;=;0,04;10,40;-1;25;Displacement of [3H]methylspiperone from human recombinant D2S receptor expressed in HEK293 cells;ChEMBL;361,2;0;1;2;4,84;CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1;https://dx.doi.org/10.1021/jm401895u
(+)-butaclamol;746;None;9;Human;Binding;Ki;=;0,04;10,40;-1;25;Displacement of [3H]methylspiperone from human D2S receptor expressed in HEK293 cells;ChEMBL;361,2;0;1;2;4,84;CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1;https://dx.doi.org/10.1016/j.ejmech.2014.12.045
(+)-butaclamol;746;None;9;Human;Binding;pKi;None;-;8,10;-1;25;Unclassified;Guide to Pharmacology;361,2;0;1;2;4,84;CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1;https://pubmed.ncbi.nlm.nih.gov/7576010
(+)-butaclamol;746;None;9;Human;Binding;pKi;None;-;8,10;-1;25;Unclassified;Guide to Pharmacology;361,2;0;1;2;4,84;CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1;https://pubmed.ncbi.nlm.nih.gov/8301592
(+)-butaclamol;746;None;9;Human;Binding;pKi;None;-;8,10;-1;25;Unclassified;Guide to Pharmacology;361,2;0;1;2;4,84;CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1;https://pubmed.ncbi.nlm.nih.gov/8301582
(+)-butaclamol;746;None;9;Human;Binding;pKi;None;-;8,10;-1;25;Unclassified;Guide to Pharmacology;361,2;0;1;2;4,84;CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1;https://pubmed.ncbi.nlm.nih.gov/7907989
(+)-butaclamol;746;125I-Epidepride;9;Human;Binding;pKi;=;1,20;8,92;-1;25;-;PDSP KiDatabase;361,2;0;1;2;4,84;CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1;-
(+)-butaclamol;746;3H-SPIPERONE;9;Human;Binding;pKi;=;0,80;9,10;-1;25;-;PDSP KiDatabase;361,2;0;1;2;4,84;CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1;-
(+)-butaclamol;746;3H-SPIPERONE;9;Human;Binding;pKi;=;0,09;10,05;-1;25;-;PDSP KiDatabase;361,2;0;1;2;4,84;CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1;-
(+)-butaclamol;746;3H-YM 09151-2;9;Human;Binding;pKi;=;1,00;9,00;-1;25;-;PDSP KiDatabase;361,2;0;1;2;4,84;CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1;-
(+)-butaclamol;746;125I-IODOSULPRIDE;9;Human;Binding;pKi;=;0,44;9,36;-1;25;-;PDSP KiDatabase;361,2;0;1;2;4,84;CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1;-
(+)-butaclamol;746;3H-S-Sulpiride;9;Human;Binding;pKi;=;7,70;8,11;-1;25;-;PDSP KiDatabase;361,2;0;1;2;4,84;CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1;-
(+)-butaclamol;746;3H-SPIPERONE;9;Human;Binding;pKi;=;0,09;10,05;-1;25;-;PDSP KiDatabase;361,2;0;1;2;4,84;CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1;-
(+)-butaclamol;746;125I-Epidepride;9;Human;Binding;pKi;=;0,68;9,17;-1;25;-;PDSP KiDatabase;361,2;0;1;2;4,84;CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1;-
(+)-butaclamol;746;125I-Epidepride;9;Human;Binding;pKi;=;0,74;9,13;-1;25;-;PDSP KiDatabase;361,2;0;1;2;4,84;CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1;-
(+)-butaclamol;746;125I-Epidepride;9;Human;Binding;pKi;=;0,83;9,08;-1;25;-;PDSP KiDatabase;361,2;0;1;2;4,84;CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1;-
(+)-butaclamol;746;UNDEFINED;9;Human;Binding;pKi;=;0,05;10,30;-1;25;-;PDSP KiDatabase;361,2;0;1;2;4,84;CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1;-
