Common name,GPCRdb ID,Reference ligand,Vendors,Species,Assay Type,Activity Type,Activity Relation,Activity Value,p-value (-log),Fold selectivity,Tested GPCRs,Assay Description,Source,Mol weight,Rot Bonds,H don,H acc,LogP,Smiles,DOI,cell_line,expression_system,detection_tech,group_m1,DOI_clean,group_m2,group_m1_size
(+)-AJ76,322,,18,Human,Binding,Ki,=,"145,00",6.84,2,8,Binding affinity was measured at cloned mammalian dopamine D2 receptor expressed in CHO-K1 cells (using [3H]U-86170),ChEMBL,"233,2",4,1,2,"3,11",CCCN[C@@H]1CCc2c(OC)cccc2[C@@H]1C,https://dx.doi.org/10.1016/S0960-894X(01)80181-5,cho-k1,recombinant,radioligand_binding,human|binding|radioligand_binding|cho-k1|recombinant,https://dx.doi.org/10.1016/S0960-894X(01)80181-5,human|binding|chembl|https://dx.doi.org/10.1016/s0960-894x(01)80181-5,294
(+)-butaclamol,746,,9,Human,Binding,IC50,=,"1,10",8.96,-1,25,Displacement of [3H]methylspiperone from human recombinant Dopamine D2S receptor expressed in HEK293 cells,ChEMBL,"361,2",0,1,2,"4,84",CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1,https://dx.doi.org/10.1016/j.bmc.2016.03.006,hek293,recombinant,radioligand_binding,human|binding|radioligand_binding|hek293|recombinant,https://dx.doi.org/10.1016/j.bmc.2016.03.006,human|binding|chembl|https://dx.doi.org/10.1016/j.bmc.2016.03.006,356
(+)-butaclamol,746,,9,Human,Binding,IC50,=,"0,81",9.09,-1,25,Displacement of [3H]methyl-spiperone from human recombinant D2S receptor in HEK293 cells after 60 mins by scintillation counting,ChEMBL,"361,2",0,1,2,"4,84",CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1,https://dx.doi.org/10.1021/acs.jmedchem.6b01422,hek293,recombinant,radioligand_binding,human|binding|radioligand_binding|hek293|recombinant,https://dx.doi.org/10.1021/acs.jmedchem.6b01422,human|binding|chembl|https://dx.doi.org/10.1021/acs.jmedchem.6b01422,356
(+)-butaclamol,746,,9,Human,Binding,Ki,=,"0,27",9.57,-1,25,Displacement of [3H]methyl-spiperone from human recombinant D2S receptor in HEK293 cells after 60 mins by scintillation counting,ChEMBL,"361,2",0,1,2,"4,84",CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1,https://dx.doi.org/10.1021/acs.jmedchem.6b01422,hek293,recombinant,radioligand_binding,human|binding|radioligand_binding|hek293|recombinant,https://dx.doi.org/10.1021/acs.jmedchem.6b01422,human|binding|chembl|https://dx.doi.org/10.1021/acs.jmedchem.6b01422,356
(+)-butaclamol,746,,9,Human,Binding,Ki,=,"0,04",10.4,-1,25,Displacement of [3H]methylspiperone from human recombinant D2S receptor expressed in HEK293 cells,ChEMBL,"361,2",0,1,2,"4,84",CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1,https://dx.doi.org/10.1021/jm401895u,hek293,recombinant,radioligand_binding,human|binding|radioligand_binding|hek293|recombinant,https://dx.doi.org/10.1021/jm401895u,human|binding|chembl|https://dx.doi.org/10.1021/jm401895u,356
(+)-butaclamol,746,,9,Human,Binding,Ki,=,"0,04",10.4,-1,25,Displacement of [3H]methylspiperone from human D2S receptor expressed in HEK293 cells,ChEMBL,"361,2",0,1,2,"4,84",CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1,https://dx.doi.org/10.1016/j.ejmech.2014.12.045,hek293,expressed,radioligand_binding,human|binding|radioligand_binding|hek293|expressed,https://dx.doi.org/10.1016/j.ejmech.2014.12.045,human|binding|chembl|https://dx.doi.org/10.1016/j.ejmech.2014.12.045,1290
(+)-S-14297,3427,,8,Human,Binding,Ki,=,"251,19",6.6,-50,2,Inhibition of [125 I]iodosulpiride binding to human Dopamine receptor D2 expressed in CHO cell membranes,ChEMBL,"273,2",5,0,2,"3,60",CCCN(CCC)C1CCc2cc3c(cc2C1)OCC3,https://dx.doi.org/10.1016/S0960-894X(97)00126-1,cho,expressed,binding_unspecified,human|binding|binding_unspecified|cho|expressed,https://dx.doi.org/10.1016/S0960-894X(97)00126-1,human|binding|chembl|https://dx.doi.org/10.1016/s0960-894x(97)00126-1,117
(+)-sulpiride,3703,,66,Human,Binding,Ki,=,"120,00",6.92,-1,23,In vitro displacement of [3H]spiperone from the recombinant human dopamine receptor D2L stably expressed in CHO cells,ChEMBL,"341,1",6,2,5,"0,56",CCN1CCC[C@@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,https://dx.doi.org/10.1016/s0960-894x(00)00405-4,cho,recombinant,radioligand_binding,human|binding|radioligand_binding|cho|recombinant,https://dx.doi.org/10.1016/s0960-894x(00)00405-4,human|binding|chembl|https://dx.doi.org/10.1016/s0960-894x(00)00405-4,790
(+)-sulpiride,3703,,66,Human,Binding,Ki,=,"51,00",7.29,-1,23,In vitro displacement of [3H]spiperone from the recombinant human dopamine receptor D2 short form expressed in CHO cells,ChEMBL,"341,1",6,2,5,"0,56",CCN1CCC[C@@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,https://dx.doi.org/10.1016/s0960-894x(00)00405-4,cho,recombinant,radioligand_binding,human|binding|radioligand_binding|cho|recombinant,https://dx.doi.org/10.1016/s0960-894x(00)00405-4,human|binding|chembl|https://dx.doi.org/10.1016/s0960-894x(00)00405-4,790
(+)-sulpiride,3703,,66,Human,Binding,pKi,=,"7,29",8.14,-1,23,In vitro displacement of [3H]spiperone from the recombinant human dopamine receptor D2 short form expressed in CHO cells,Drug Central,"341,1",6,2,5,"0,56",CCN1CCC[C@@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,-,cho,recombinant,radioligand_binding,human|binding|radioligand_binding|cho|recombinant,-,human|binding|drug_central|-,790
