Common name,Smiles,Activity Type,p-value (-log)
CHEMBL1259071,Cc1ccc(CNCC2(F)CCN(C(=O)c3cc(Br)cs3)CC2)nc1,Ki,4.0
CHEMBL407818,Oc1ccc(N2CCN(Cc3cnn4ccccc34)CC2)cc1,Ki,4.06
CHEMBL392401,Oc1cccc(C2NCCc3c2[nH]c2ccccc32)c1,Ki,4.06
procaterol,CCC(NC(C)C)C(O)c1ccc(O)c2[nH]c(=O)ccc12,Ki,4.07
OLICERIDINE,COc1ccsc1CNCC[C@@]1(c2ccccn2)CCOC2(CCCC2)C1,Ki,4.08
CHEMBL4076527,Cn1c(SCCCN2CCC3(CC2)CCN(c2ccccn2)CC3)nnc1-c1ccccc1,Ki,4.08
CHEMBL160396,OCc1cccn2ncc(CN3CCN(c4ccc(Cl)cc4)CC3)c12,Ki,4.1
CHEMBL3742207,Clc1ccc(N2CCN(CCCCNc3noc(-c4ccccc4)n3)CC2)cc1,Ki,4.1
CHEMBL272873,FCCOc1ccc(N2CCN(Cc3cnn4ccccc34)CC2)cc1,Ki,4.1
CHEMBL1259071,Cc1ccc(CNCC2(F)CCN(C(=O)c3cc(Br)cs3)CC2)nc1,Ki,4.14
CHEMBL4437740,C[C@H]1CO[C@@H](c2ccc(N)nc2)CN1C[C@@H]1C[C@H]1CCNC(=O)c1cc2ccccc2[nH]1,Ki,4.15
CHEMBL377542,Fc1ccc(N2CCN(Cc3cn4ccncc4n3)CC2)cc1,Ki,4.17
CHEMBL516334,COc1cccc(CCc2ccccc2OCCCCN2CCN(c3ccccc3OC)CC2)c1,Ki,4.17
CHEMBL88937,Clc1ccc(N2CCN(Cc3cccc4ccnn34)CC2)cc1,Ki,4.17
CHEMBL272873,FCCOc1ccc(N2CCN(Cc3cnn4ccccc34)CC2)cc1,Ki,4.18
CHEMBL2062854,C[C@@H]1[C@@H]2[C@H](CN1Cc1ccccc1)[C@H](CO)[C@H]2N1CCCC1,Ki,4.18
CHEMBL4742201,CN(C)CCN1C(=O)c2ccccc2N(C)C(=O)c2ccccc21,Ki,4.18
CHEMBL377542,Fc1ccc(N2CCN(Cc3cn4ccncc4n3)CC2)cc1,Ki,4.19
