SMILES,Standardized_SMILES,LogS
[Br-].CCCCCCCCCCCCCCCCCC[N+](C)(C)C,CCCCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],-3.6161271205
O=C1Nc2cccc3cccc1c23,O=C1Nc2cccc3cccc1c23,-3.2547670983
Clc1ccc(C=O)cc1,O=Cc1ccc(Cl)cc1,-2.1770779444
[Zn++].CC(c1ccccc1)c2cc(C(C)c3ccccc3)c(O)c(c2)C([O-])=O.CC(c4ccccc4)c5cc(C(C)c6ccccc6)c(O)c(c5)C([O-])=O,CC(c1ccccc1)c1cc(C(=O)[O-])c(O)c(C(C)c2ccccc2)c1.CC(c1ccccc1)c1cc(C(=O)[O-])c(O)c(C(C)c2ccccc2)c1.[Zn+2],-3.9244090954
C1OC1CN(CC2CO2)c3ccc(Cc4ccc(cc4)N(CC5CO5)CC6CO6)cc3,c1cc(N(CC2CO2)CC2CO2)ccc1Cc1ccc(N(CC2CO2)CC2CO2)cc1,-4.6620645831
Cc1cccc(C=C)c1,C=Cc1cccc(C)c1,-3.1231503041
CCC1CCC(CCC(O)=O)C1,CCC1CCC(CCC(=O)O)C1,-3.286116314
CC12CC(O)C3C(CCC4=CC(=O)C=CC34C)C1CC(O)C2(O)C(=O)CO,CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CC(O)C2(O)C(=O)CO,-2.6645485391
Fc1ccc(cc1)C(=O)c2ccc(F)cc2,O=C(c1ccc(F)cc1)c1ccc(F)cc1,-4.396652184700001
O=C(OCCCOCCCOC(=O)c1ccccc1)c2ccccc2,O=C(OCCCOCCCOC(=O)c1ccccc1)c1ccccc1,-4.595502563999999
CN(C)c1ccc(C=O)cc1,CN(C)c1ccc(C=O)cc1,-2.2827688499
CC(=O)OC(C)(C)Cc1ccccc1,CC(=O)OC(C)(C)Cc1ccccc1,-2.3946499685
Cc1ccc(O)c(C)c1.Cc2ccc(C)c(O)c2.Cc3cc(C)cc(O)c3.Cc4ccc(O)cc4C.Cc5cccc(O)c5C.Cc6cccc(C)c6O,Cc1cc(C)cc(O)c1.Cc1ccc(C)c(O)c1.Cc1ccc(O)c(C)c1.Cc1ccc(O)cc1C.Cc1cccc(C)c1O.Cc1cccc(O)c1C,-1.9803097957
CC(C)(C)c1ccc(OCC2CO2)cc1,CC(C)(C)c1ccc(OCC2CO2)cc1,-3.4302388798
COCCCCC(=O)c1ccc(cc1)C(F)(F)F,COCCCCC(=O)c1ccc(C(F)(F)F)cc1,-3.5440597008
CC(C)=CCC\C(C)=C/CO,CC(C)=CCC/C(C)=C\CO,-2.3206011661000003
CC(Oc1ccc(Cl)cc1C)C(O)=O,Cc1cc(Cl)ccc1OC(C)C(=O)O,-2.4660307863
[Zn++].CCCCC(CC)CO[P]([S-])(=S)OCC(C)C.CCCCC(CC)CO[P]([S-])(=S)OCC(C)C,CCCCC(CC)COP(=S)([S-])OCC(C)C.CCCCC(CC)COP(=S)([S-])OCC(C)C.[Zn+2],-2.9581950472000003
FC(F)(F)c1cccc(Cl)c1,FC(F)(F)c1cccc(Cl)c1,-3.4115138849
CCC(C)(CCC(C)C)C(=O)OCC1CO1,CCC(C)(CCC(C)C)C(=O)OCC1CO1,-3.5134687407
CC(C)CCCCCOC(=O)CCS,CC(C)CCCCCOC(=O)CCS,-4.4543816995
CC(C)=C1CCC(=CC1)C,CC1=CCC(=C(C)C)CC1,-4.2873429345
[Na+].[Al+3].[O-][Si]([O-])=O.[O-][Si]([O-])=O,O=[Si]([O-])[O-].O=[Si]([O-])[O-].[Al+3].[Na+],-3.4731390517
[Zn++].CC(=C)C([O-])=O,C=C(C)C(=O)[O-].[Zn+2],-2.3632080977000003
CCNCC(O)c1cccc(O)c1,CCNCC(O)c1cccc(O)c1,-3.4541026398000003
[Zn++].CCC(C)O[P]([S-])(=S)OC(C)CC(C)C.CCC(C)O[P]([S-])(=S)OC(C)CC(C)C,CCC(C)OP(=S)([S-])OC(C)CC(C)C.CCC(C)OP(=S)([S-])OC(C)CC(C)C.[Zn+2],-2.9908768679000004
ClCc1ccc(Cl)cc1Cl,ClCc1ccc(Cl)cc1Cl,-3.5129421932
CC1(C)C2CCC(=C)C1C2,C=C1CCC2CC1C2(C)C,-4.2923134549
CCCCCCCC\C=C/CCCCCCCC(O)=O.NCCNCCO,CCCCCCCC/C=C\CCCCCCCC(=O)O.NCCNCCO,-4.8091341894
CCCCCCCCCCCCOC(=O)C(C)O,CCCCCCCCCCCCOC(=O)C(C)O,-4.6341446203
NO,NO,-0.763033718
C=CC(=O)OCCOc1ccccc1,C=CC(=O)OCCOc1ccccc1,-2.5636257131
CCCC[N+](CCCC)(CCCC)Cc1ccccc1.Oc2ccc(c3ccccc23)[S]([O-])(=O)=O,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.O=S(=O)([O-])c1ccc(O)c2ccccc12,-2.6418192727000003
OC(=O)CCCCCCCCC=C,C=CCCCCCCCCC(=O)O,-3.5528261452
C[N+](C)(CCCN[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC([O-])=O,C[N+](C)(CCCNS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC(=O)[O-],-4.0571851475
CCC(Cc1ccccc1)(N(C)C)C(=O)c2ccc(cc2)N3CCOCC3,CCC(Cc1ccccc1)(C(=O)c1ccc(N2CCOCC2)cc1)N(C)C,-4.7932278922
CC(C)CCCCCCc1ccc(O)cc1,CC(C)CCCCCCc1ccc(O)cc1,-4.587250024599999
CC(=C)c1cccc(c1)C(C)=C,C=C(C)c1cccc(C(=C)C)c1,-4.4511392252
[Mo],[Mo],-4.2038484637
CC(C)(C)CCCCCC(=O)OC=C,C=COC(=O)CCCCCC(C)(C)C,-4.581332510899999
Cc1ccc(cc1)C(C)(C)C,Cc1ccc(C(C)(C)C)cc1,-4.4720217682
OC(=O)C1CCCCC1,O=C(O)C1CCCCC1,-1.445031941
[Na+].[Na+].[Na+].[Na+].[Na+].[O-][S](=O)(=O)OCC[S](=O)(=O)c1cccc(Nc2nc(Cl)nc(Nc3cc(cc4C=C(\C(=N/Nc5ccc6c(cccc6[S]([O-])(=O)=O)c5[S]([O-])(=O)=O)C(=O)c34)[S]([O-])(=O)=O)[S]([O-])(=O)=O)n2)c1,O=C1/C(=N/Nc2ccc3c(S(=O)(=O)[O-])cccc3c2S(=O)(=O)[O-])C(S(=O)(=O)[O-])=Cc2cc(S(=O)(=O)[O-])cc(Nc3nc(Cl)nc(Nc4cccc(S(=O)(=O)CCOS(=O)(=O)[O-])c4)n3)c21.[Na+].[Na+].[Na+].[Na+].[Na+],-0.4108977358
C(CCCN=C\C=C\c1ccccc1)CCN=C/C=C/c2ccccc2,C(/C=C/c1ccccc1)=NCCCCCCN=C/C=C/c1ccccc1,-3.8937390711
CC(C)(C)CC(C)(C)c1cc(Cc2cc(cc(n3nc4ccccc4n3)c2O)C(C)(C)CC(C)(C)C)c(O)c(c1)n5nc6ccccc6n5,CC(C)(C)CC(C)(C)c1cc(Cc2cc(C(C)(C)CC(C)(C)C)cc(-n3nc4ccccc4n3)c2O)c(O)c(-n2nc3ccccc3n2)c1,-7.973715535399999
[Cl-].CCN(CC[N+](C)(C)C)c1ccc(cc1)N=Nc2ccc(cc2Cl)[N+]([O-])=O,CCN(CC[N+](C)(C)C)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2Cl)cc1.[Cl-],-3.0386996230000003
