SMILES,LogS
COc1ccc(Cl)c(Nc2ncnc3cc(OCCN4CCN(C(C)=O)CC4)cc(OC(C)C)c23)n1,-4.369572124974976
CCN(C(=O)Cc1ccc(S(C)(=O)=O)cc1)C1CCN(CCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,-4.1598939055432425
N#CC1(NC(=O)[C@@H]2CCCC[C@H]2C(=O)N2CCc3[nH]c4ccc(C(F)(F)F)cc4c3C2)CC1,-4.130181792020672
CN(C)C(=N)c1ccc(C(=O)N2CCN(S(=O)(=O)c3ccc4cc(Br)ccc4c3)CC2)cc1,-2.879985747921933
N#Cc1cccnc1-c1ccc(C(=O)Nc2ccccc2N)cc1,-4.449771646944906
N=C(N)c1ccc2cc(C(=O)Nc3ccc4c(c3)OCO4)ccc2c1,-4.349692476868063
CCCSc1nc(NC)ccc1C(=O)N[C@H]1C2CC3CC1C[C@](O)(C3)C2,-4.329754146925876
NS(=O)(=O)c1cccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)c1,-4.289882634888183
O=c1[nH][nH]c(=O)c2c1[nH]c1cc(Cl)cc(Cl)c12,-4.2403321553103694
COCCS(=O)(=O)c1ccc(Nc2nccc(-c3cnc(C)n3C(C)C)n2)cc1,-4.209714835966758
CNC(=O)[C@@H](NC(=O)[C@H](CC(C)C)[C@@H](Sc1ccccc1)C(=O)NO)C(C)(C)C,-4.079876673709276
CC(C)(C)Cn1c2ccccc2c2cc(NC(=O)N3CCOCC3)ccc21,-7.0
CN(C(=O)c1ccco1)c1nnc(C23CC4CC(CC(C4)C2)C3)s1,-5.522878745280337
COc1ccc(-c2nnc(-c3ccccc3)o2)cc1,-5.3872161432802645
NC1(c2ccc(-c3nc4ccn5c(=O)[nH]nc5c4cc3-c3ccccc3)cc2)CCC1,-5.327902142064283
O=C(CCCCCCC(=O)Nc1ccccc1)NO,-2.909988975992853
Cc1cc(S(=O)(=O)Nc2nc(Nc3ccc(Cl)cc3)n[nH]2)c(S)cc1Cl,-4.059981844992337
O=C(O)C[C@H]1CC[C@H](c2ccc(NC(=O)c3nnc(Nc4ccccc4F)o3)cc2)CC1,-3.910094888560602
