Unnamed: 0,SMILES,LogS,Standardized_SMILES
0,[Br-].CCCCCCCCCCCCCCCCCC[N+](C)(C)C,-3.6161271205,CCCCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
1,O=C1Nc2cccc3cccc1c23,-3.2547670983,O=C1Nc2cccc3cccc1c23
2,Clc1ccc(C=O)cc1,-2.1770779444,O=Cc1ccc(Cl)cc1
3,[Zn++].CC(c1ccccc1)c2cc(C(C)c3ccccc3)c(O)c(c2)C([O-])=O.CC(c4ccccc4)c5cc(C(C)c6ccccc6)c(O)c(c5)C([O-])=O,-3.9244090954,CC(c1ccccc1)c1cc(C(=O)[O-])c(O)c(C(C)c2ccccc2)c1.CC(c1ccccc1)c1cc(C(=O)[O-])c(O)c(C(C)c2ccccc2)c1.[Zn+2]
4,C1OC1CN(CC2CO2)c3ccc(Cc4ccc(cc4)N(CC5CO5)CC6CO6)cc3,-4.6620645831,c1cc(N(CC2CO2)CC2CO2)ccc1Cc1ccc(N(CC2CO2)CC2CO2)cc1
5,Cc1cccc(C=C)c1,-3.1231503041,C=Cc1cccc(C)c1
6,CCC1CCC(CCC(O)=O)C1,-3.286116314,CCC1CCC(CCC(=O)O)C1
7,CC12CC(O)C3C(CCC4=CC(=O)C=CC34C)C1CC(O)C2(O)C(=O)CO,-2.6645485391,CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CC(O)C2(O)C(=O)CO
8,Fc1ccc(cc1)C(=O)c2ccc(F)cc2,-4.396652184700001,O=C(c1ccc(F)cc1)c1ccc(F)cc1
9,O=C(OCCCOCCCOC(=O)c1ccccc1)c2ccccc2,-4.595502563999999,O=C(OCCCOCCCOC(=O)c1ccccc1)c1ccccc1
10,CN(C)c1ccc(C=O)cc1,-2.2827688499,CN(C)c1ccc(C=O)cc1
11,CC(=O)OC(C)(C)Cc1ccccc1,-2.3946499685,CC(=O)OC(C)(C)Cc1ccccc1
12,Cc1ccc(O)c(C)c1.Cc2ccc(C)c(O)c2.Cc3cc(C)cc(O)c3.Cc4ccc(O)cc4C.Cc5cccc(O)c5C.Cc6cccc(C)c6O,-1.9803097957,Cc1cc(C)cc(O)c1.Cc1ccc(C)c(O)c1.Cc1ccc(O)c(C)c1.Cc1ccc(O)cc1C.Cc1cccc(C)c1O.Cc1cccc(O)c1C
13,CC(C)(C)c1ccc(OCC2CO2)cc1,-3.4302388798,CC(C)(C)c1ccc(OCC2CO2)cc1
14,COCCCCC(=O)c1ccc(cc1)C(F)(F)F,-3.5440597008,COCCCCC(=O)c1ccc(C(F)(F)F)cc1
15,CC(C)=CCC\C(C)=C/CO,-2.3206011661000003,CC(C)=CCC/C(C)=C\CO
16,CC(Oc1ccc(Cl)cc1C)C(O)=O,-2.4660307863,Cc1cc(Cl)ccc1OC(C)C(=O)O
17,[Zn++].CCCCC(CC)CO[P]([S-])(=S)OCC(C)C.CCCCC(CC)CO[P]([S-])(=S)OCC(C)C,-2.9581950472000003,CCCCC(CC)COP(=S)([S-])OCC(C)C.CCCCC(CC)COP(=S)([S-])OCC(C)C.[Zn+2]
18,FC(F)(F)c1cccc(Cl)c1,-3.4115138849,FC(F)(F)c1cccc(Cl)c1
19,CCC(C)(CCC(C)C)C(=O)OCC1CO1,-3.5134687407,CCC(C)(CCC(C)C)C(=O)OCC1CO1
20,CC(C)CCCCCOC(=O)CCS,-4.4543816995,CC(C)CCCCCOC(=O)CCS
21,CC(C)=C1CCC(=CC1)C,-4.2873429345,CC1=CCC(=C(C)C)CC1
22,[Na+].[Al+3].[O-][Si]([O-])=O.[O-][Si]([O-])=O,-3.4731390517,O=[Si]([O-])[O-].O=[Si]([O-])[O-].[Al+3].[Na+]
23,[Zn++].CC(=C)C([O-])=O,-2.3632080977000003,C=C(C)C(=O)[O-].[Zn+2]
24,CCNCC(O)c1cccc(O)c1,-3.4541026398000003,CCNCC(O)c1cccc(O)c1
25,[Zn++].CCC(C)O[P]([S-])(=S)OC(C)CC(C)C.CCC(C)O[P]([S-])(=S)OC(C)CC(C)C,-2.9908768679000004,CCC(C)OP(=S)([S-])OC(C)CC(C)C.CCC(C)OP(=S)([S-])OC(C)CC(C)C.[Zn+2]
26,ClCc1ccc(Cl)cc1Cl,-3.5129421932,ClCc1ccc(Cl)cc1Cl
27,CC1(C)C2CCC(=C)C1C2,-4.2923134549,C=C1CCC2CC1C2(C)C
28,CCCCCCCC\C=C/CCCCCCCC(O)=O.NCCNCCO,-4.8091341894,CCCCCCCC/C=C\CCCCCCCC(=O)O.NCCNCCO
29,CCCCCCCCCCCCOC(=O)C(C)O,-4.6341446203,CCCCCCCCCCCCOC(=O)C(C)O
30,NO,-0.763033718,NO
31,C=CC(=O)OCCOc1ccccc1,-2.5636257131,C=CC(=O)OCCOc1ccccc1
32,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.Oc2ccc(c3ccccc23)[S]([O-])(=O)=O,-2.6418192727000003,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.O=S(=O)([O-])c1ccc(O)c2ccccc12
33,OC(=O)CCCCCCCCC=C,-3.5528261452,C=CCCCCCCCCC(=O)O
34,C[N+](C)(CCCN[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC([O-])=O,-4.0571851475,C[N+](C)(CCCNS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC(=O)[O-]
35,CCC(Cc1ccccc1)(N(C)C)C(=O)c2ccc(cc2)N3CCOCC3,-4.7932278922,CCC(Cc1ccccc1)(C(=O)c1ccc(N2CCOCC2)cc1)N(C)C
36,CC(C)CCCCCCc1ccc(O)cc1,-4.587250024599999,CC(C)CCCCCCc1ccc(O)cc1
37,CC(=C)c1cccc(c1)C(C)=C,-4.4511392252,C=C(C)c1cccc(C(=C)C)c1
38,[Mo],-4.2038484637,[Mo]
39,CC(C)(C)CCCCCC(=O)OC=C,-4.581332510899999,C=COC(=O)CCCCCC(C)(C)C
40,Cc1ccc(cc1)C(C)(C)C,-4.4720217682,Cc1ccc(C(C)(C)C)cc1
41,OC(=O)C1CCCCC1,-1.445031941,O=C(O)C1CCCCC1
42,[Na+].[Na+].[Na+].[Na+].[Na+].[O-][S](=O)(=O)OCC[S](=O)(=O)c1cccc(Nc2nc(Cl)nc(Nc3cc(cc4C=C(\C(=N/Nc5ccc6c(cccc6[S]([O-])(=O)=O)c5[S]([O-])(=O)=O)C(=O)c34)[S]([O-])(=O)=O)[S]([O-])(=O)=O)n2)c1,-0.4108977358,O=C1/C(=N/Nc2ccc3c(S(=O)(=O)[O-])cccc3c2S(=O)(=O)[O-])C(S(=O)(=O)[O-])=Cc2cc(S(=O)(=O)[O-])cc(Nc3nc(Cl)nc(Nc4cccc(S(=O)(=O)CCOS(=O)(=O)[O-])c4)n3)c21.[Na+].[Na+].[Na+].[Na+].[Na+]
43,C(CCCN=C\C=C\c1ccccc1)CCN=C/C=C/c2ccccc2,-3.8937390711,C(/C=C/c1ccccc1)=NCCCCCCN=C/C=C/c1ccccc1
44,CC(C)(C)CC(C)(C)c1cc(Cc2cc(cc(n3nc4ccccc4n3)c2O)C(C)(C)CC(C)(C)C)c(O)c(c1)n5nc6ccccc6n5,-7.973715535399999,CC(C)(C)CC(C)(C)c1cc(Cc2cc(C(C)(C)CC(C)(C)C)cc(-n3nc4ccccc4n3)c2O)c(O)c(-n2nc3ccccc3n2)c1
45,[Cl-].CCN(CC[N+](C)(C)C)c1ccc(cc1)N=Nc2ccc(cc2Cl)[N+]([O-])=O,-3.0386996230000003,CCN(CC[N+](C)(C)C)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2Cl)cc1.[Cl-]
46,C1CN(CCO1)Sc2sc3ccccc3n2,-3.8109627954,c1ccc2sc(SN3CCOCC3)nc2c1
47,CC1(C)[C@H]2C[C@@H]3O[C@]3(C)[C@@H]1C2,-2.5936884915,CC1(C)[C@H]2C[C@@H]3O[C@]3(C)[C@@H]1C2
48,[Na+].[Na+].[Na+].[Na+].NC(=O)Nc1cc(Nc2nc(Cl)nc(Nc3cccc(c3)[S](=O)(=O)CCO[S]([O-])(=O)=O)n2)ccc1N=Nc4cc5c(cc(cc5[S]([O-])(=O)=O)[S]([O-])(=O)=O)cc4[S]([O-])(=O)=O,-0.4261364852,NC(=O)Nc1cc(Nc2nc(Cl)nc(Nc3cccc(S(=O)(=O)CCOS(=O)(=O)[O-])c3)n2)ccc1N=Nc1cc2c(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])cc2cc1S(=O)(=O)[O-].[Na+].[Na+].[Na+].[Na+]
49,[Na+].[Na+].CCCCCCCCCCCCNc1nc(Cl)nc(Nc2ccc3c(O)c(N=Nc4ccc(cc4)N=Nc5ccc(cc5)[S]([O-])(=O)=O)c(cc3c2)[S]([O-])(=O)=O)n1,-3.358911212,CCCCCCCCCCCCNc1nc(Cl)nc(Nc2ccc3c(O)c(N=Nc4ccc(N=Nc5ccc(S(=O)(=O)[O-])cc5)cc4)c(S(=O)(=O)[O-])cc3c2)n1.[Na+].[Na+]
50,CCCN(CCC)C(=O)SCC,-2.7031744039,CCCN(CCC)C(=O)SCC
51,C1CC(CCC1COCC2CO2)COCC3CO3,-1.8357972344,C1CC(COCC2CO2)CCC1COCC1CO1
52,CC(CC1=CC(=CC(=O)N1O)C)CC(C)(C)C.NCCO,-3.9054642035,Cc1cc(CC(C)CC(C)(C)C)n(O)c(=O)c1.NCCO
53,[OH-].[Ca++].[Ca++].[Ca++].[Ca++].[Ca++].[O-][P]([O-])([O-])=O.[O-][P]([O-])([O-])=O.[O-][P]([O-])([O-])=O,-4.1419008964,O=P([O-])([O-])[O-].O=P([O-])([O-])[O-].O=P([O-])([O-])[O-].[Ca+2].[Ca+2].[Ca+2].[Ca+2].[Ca+2].[OH-]
54,O=[P+]1Oc2ccccc2c3ccccc13,-1.7796231349,O=[p+]1oc2ccccc2c2ccccc21
55,C=COC(=O)c1ccccc1,-2.6229591952,C=COC(=O)c1ccccc1
56,COC(=O)c1ccc(cc1)C(C)(C)C,-3.7398163758,COC(=O)c1ccc(C(C)(C)C)cc1
57,Cc1cccc(CC(C)(C)CO)c1,-2.8265354685000004,Cc1cccc(CC(C)(C)CO)c1
58,CC(=O)OC\C=C(C)/CCC=C(C)C,-3.7549532157,CC(=O)OC/C=C(/C)CCC=C(C)C
59,CC1(C)[C@H]2CC=C(CCO)[C@@H]1C2,-2.6959998037,CC1(C)[C@H]2CC=C(CCO)[C@@H]1C2
60,CC1CC(=O)CC(C)(C)C1,-1.6471414632,CC1CC(=O)CC(C)(C)C1
61,C=CC(=O)OCCOc1ccccc1c2ccccc2,-3.9515188418,C=CC(=O)OCCOc1ccccc1-c1ccccc1
