ID,InChIKey,SMILES,LogS,SD,Group,sample_weight
C-18,WUOACPNHFRMFPN-UHFFFAOYSA-N,CC1=CCC(CC1)C(C)(C)O,-1.91,0.0091999999999999,G3,0.8
C-21,BAVONGHXFVOKBV-UHFFFAOYSA-N,CC(=C)C1CC=C(C)C(O)C1,-1.72,0.0,G1,0.6
C-43,VHHHONWQHHHLTI-UHFFFAOYSA-N,ClC(Cl)(Cl)C(Cl)(Cl)Cl,-3.94,0.338436171563003,G5,1.0
C-69,SIDLZWOQUZRBRU-UHFFFAOYSA-N,CCC1(CC)C(=O)NCC(C)C1=O,-0.38,0.0,G1,0.6
C-72,ODKSFYDXXFIFQN-UHFFFAOYSA-N,NC(CCCNC(N)=N)C(O)=O,0.0,0.0435535813227057,G5,1.0
C-74,UHXUZOCRWCRNSJ-DAXSKMNVSA-N,CNC(=O)O\N=C(\C)SC,-1.21,0.0,G1,0.6
C-75,MOYKHGMNXAOIAT-UHFFFAOYSA-N,[O-][N+](=O)OC1COC2C(COC12)O[N+]([O-])=O,-2.63,0.0,G1,0.6
C-79,LAOZSCRCYVBSJA-UHFFFAOYSA-N,CC1(C)C(=O)NC(=O)NC1=O,-1.74,0.0,G1,0.6
C-86,PQVZDTWRGIHYCU-UHFFFAOYSA-N,O=C1NC(=O)C2(CC2)C(=O)N1,-1.89,0.0,G1,0.6
C-88,LPXYBLIRYGCMPQ-UHFFFAOYSA-N,CCCCCCCCCCNC(=O)NC1CCCCC1,-2.81,0.0,G1,0.6
C-94,RCFRTWDBBMGLGK-UHFFFAOYSA-N,CCC1(C)C(=O)NC(=O)NC1=O,-1.23,0.0,G1,0.6
C-104,VQDXQNNYGSEHPU-UHFFFAOYSA-N,O=C1NC(=O)C2(CCC2)C(=O)N1,-1.66,0.0,G1,0.6
C-109,FTOAOBMCPZCFFF-UHFFFAOYSA-N,CCC1(CC)C(=O)NC(=O)NC1=O,-1.42,0.4685682115646438,G5,1.0
C-111,WMSQREUDUHHDDC-UHFFFAOYSA-N,CC1(CC=C)C(=O)NC(=O)NC1=O,-1.16,0.0,G1,0.6
C-124,XIBUBTQSOGWALU-UHFFFAOYSA-N,CCCC1(CC)C(=O)NC(=O)NC1=O,-1.49,0.0,G1,0.6
C-128,QPADNTZLUBYNEN-UHFFFAOYSA-N,CCC1(CC=C)C(=O)NC(=O)NC1=O,-1.61,0.0392499999999998,G3,0.8
C-132,FWJKNZONDWOGMI-UHFFFAOYSA-N,CCC1(CC)C(=O)NC(=O)N(C)C1=O,-2.1,0.0939683752948594,G5,1.0
C-133,NBLIVIWUPTWDMD-UHFFFAOYSA-N,O=C1NC(=O)C2(CCCCC2)C(=O)N1,-3.06,0.0,G1,0.6
C-144,CVWHRDJDXCEZGH-UHFFFAOYSA-N,CC(C)=CCC1(C)C(=O)NC(=O)NC1=O,-2.6,0.0,G1,0.6
C-145,PUJDIJCNWFYVJX-UHFFFAOYSA-N,NC(=O)OCC1=CC=CC=C1,-0.35,0.0,G1,0.6
C-146,MEBQXILRKZHVCX-UHFFFAOYSA-N,COC1=NN(CS[P](=S)(OC)OC)C(=O)S1,-3.1,0.0543,G3,0.8
C-151,ZRIHAIZYIMGOAB-UHFFFAOYSA-N,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,-2.39,0.0,G1,0.6
C-154,NSQYIEOSFPLTJA-UHFFFAOYSA-N,CC(C)C1(C(C)C)C(=O)NC(=O)NC1=O,-2.77,0.0,G1,0.6
C-163,XYGXSCVUMIDZRR-UHFFFAOYSA-N,CCCCCC1(CC)C(=O)NC(=O)NC1=O,-2.51,0.1671499999999999,G3,0.8
